estado,rango,titulo
reflexivo,2000-2015,Shutter Island
bien_relajar,2000-2015,El castillo ambulante
reflexivo,2000-2015,Shutter Island
estresado_cambiar,2000-2015,Interstellar
bien_relajar,clasico,La milla verde
triste_acompanar,reciente,Parásitos
bien_relajar,reciente,Nimona
triste_acompanar,clasico,12 hombres sin piedad
estresado_cambiar,reciente,Proyecto Salvación
estresado_acompanar,clasico,Seven
estresado_acompanar,2000-2015,Casino Royale
estresado_cambiar,2000-2015,El retorno de los magos: Alex vs. Alex
estresado_cambiar,reciente,Pobres criaturas
estresado_cambiar,2000-2015,Evangelion: 1.0 You Are (Not) Alone
triste_acompanar,2000-2015,El gran Gatsby
estresado_cambiar,todas_las_decadas,Padre no hay más que uno
bien_emocionar,todas_las_decadas,Rental Family (Familia de alquiler)
estresado_cambiar,todas_las_decadas,La noche americana
estresado_acompanar,todas_las_decadas,Un mundo perfecto
estresado_cambiar,todas_las_decadas,El mago de Oz
reflexivo,todas_las_decadas,Misery
triste_acompanar,todas_las_decadas,Estación central de Brasil
